Seed_ID,timestamp,Soil humidity 1,Irrigation field 1,Soil humidity 2,Irrigation field 2,Soil humidity 3,Irrigation field 3,Soil humidity 4,Irrigation field 4,Air temperature (C),Air humidity (%),Pressure (KPa),Wind speed (Km/h),Wind gust (Km/h),Wind direction (Deg),Soil_nutrient_levels,Place,Region,Average_Rainfall,Soil_Moisture,Seedling_growth_rate,Seed_viability,Seed_germination_rate,Soil_texture
996,2/26/2019 10:45,63.56,0,56,0,41.33,0,36.96,1,30.91,5.36,101.44,17.21,84.15,0,6544,MUMBAI,MAHARASHTRA,2691,2691,450,1016,38,21
997,2/26/2019 10:50,63.53,0,55.92,0,41.2,0,36.97,1,30.95,5.26,101.45,17.7,90.88,0,94025,Kanniyakumari,TAMIL NADU,2701,2869,450,1017,37,46
998,2/26/2019 10:55,63.5,0,55.85,0,41.07,0,36.99,1,30.99,5.16,101.46,18.18,97.62,0,94108,HYDERABAD,TELANGANA,2671,2720,450,1018,38,20
999,2/26/2019 11:00,63.47,0,55.77,0,40.94,0,37,1,31.03,5.07,101.46,18.66,104.35,0,94025,hyderabad,TELANGANA,2796,2807,450,1019,37,27
1000,2/26/2019 11:05,63.44,0,55.69,0,40.82,0,37.01,1,31.28,5.07,101.46,19.21,105.54,0,94588,hyderabad,TELANGANA,2747,2828,450,1020,38,23
1001,2/26/2019 11:10,63.42,0,55.62,0,40.69,0,37.02,1,31.53,5.08,101.46,19.76,106.72,0,94025,hyderabad,TELANGANA,2841,2942,450,1021,37,28
1002,2/26/2019 11:15,63.39,0,55.54,0,40.56,0,37.03,1,31.78,5.08,101.45,20.31,107.9,0,94110,hyderabad,TELANGANA,2519,2953,450,1022,38,53
1003,2/26/2019 11:20,63.36,0,55.46,0,40.43,0,37.04,1,32.03,5.08,101.45,20.86,109.09,0,94107,MUMBAI,MAHARASHTRA,2650,2681,450,1023,38,41
1004,2/26/2019 11:25,63.33,0,55.38,0,40.3,0,37.05,1,32.12,4.87,101.45,19.72,109.09,0,94025,LUCKNOW,UTTAR PRADESH,2413,2717,450,1024,37,32
1005,2/26/2019 11:30,63.31,0,55.31,0,40.17,0,37.06,1,32.2,4.66,101.45,18.58,109.09,0,94025,KOLKATA,WEST BENGAL,2213,2500,450,1025,37,27
1006,2/26/2019 11:35,63.28,0,55.23,0,40.05,0,37.07,1,32.3,4.52,101.45,18.82,106.72,0,94107,KOLKATA,WEST BENGAL,2385,2470,531,1026,38,31
1007,2/26/2019 11:40,63.25,0,55.15,0,39.92,0,37.08,1,32.41,4.38,101.45,19.06,104.35,0,94025,NEW DELHI,DELHI,2485,2514,531,1027,37,20
1008,2/26/2019 11:45,63.22,0,55.08,0,39.79,0,37.09,1,32.57,4.31,101.44,18.41,98.33,0,94104,ISNAPUR,TELANGANA,2516,2655,531,1028,38,19
1009,2/26/2019 11:50,63.19,0,55,0,39.66,0,37.1,1,32.73,4.25,101.43,17.76,92.31,0,94025,BILASPUR,CHHATTISGARH,2549,2549,531,1029,37,55
1010,2/26/2019 11:55,63.17,0,54.92,0,39.53,0,37.11,1,32.83,4.09,101.42,17.44,100.7,0,94025,Pune,MAHARASHTRA,2590,2591,531,1030,37,35
1011,2/26/2019 12:00,63.14,0,54.85,0,39.4,0,37.12,1,32.93,3.93,101.41,17.12,109.09,0,94025,PUDUCHERRY,PUDUCHERRY,2660,2709,531,1031,37,70
1012,2/26/2019 12:05,63.11,0,54.77,0,39.28,0,37.13,1,33.01,3.92,101.4,18.23,100.7,0,94103,GANJAM,ODISHA,2642,2691,549,1032,38,22
1013,2/26/2019 12:10,63.08,0,54.69,0,39.15,0,37.14,1,33.09,3.91,101.39,19.33,92.31,0,94025,DEHRADUN,UTTARAKHAND,2706,2707,549,1033,37,46
1014,2/26/2019 12:15,63.06,0,54.62,0,39.02,0,37.15,1,32.96,3.96,101.38,17.56,98.33,0,94104,HYDERABAD,TELANGANA,2583,2739,549,1034,38,16
1015,2/26/2019 12:20,63.03,0,54.54,0,38.89,0,37.16,1,32.82,4,101.38,15.8,104.35,0,94025,Pune,MAHARASHTRA,2552,2607,549,1035,37,14
1016,2/26/2019 12:25,63,0,54.46,0,38.76,0,37.17,1,33.28,3.72,101.37,14.99,95.03,0,94025,BASUDEBPUR,ODISHA,2376,2591,549,1036,37,13
1017,2/26/2019 12:30,63,0,54.38,0,38.63,0,37.18,1,33.74,3.44,101.36,14.18,85.71,0,94705,GHAZIABAD,UTTAR PRADESH,2333,2478,549,1037,38,44
1018,2/26/2019 12:35,63,0,54.31,0,38.5,0,37.19,1,33.67,3.56,101.34,14.35,84.24,0,94025,PUTTAPARTHI,ANDHRA PRADESH,2484,2553,549,1038,37,15
1019,2/26/2019 12:40,63,0,54.23,0,38.38,0,37.2,1,33.59,3.67,101.31,14.52,82.76,0,94129,BENGALURU,KARNATAKA,2510,2568,549,1039,38,32
1020,2/26/2019 12:45,63,0,54.15,0,38.25,0,37.22,1,32.88,3.95,101.3,15.3,87.54,0,94025,THANE,MAHARASHTRA,2478,2539,549,1040,37,26
1021,2/26/2019 12:50,63,0,54.08,0,38.12,0,37.23,1,32.17,4.23,101.3,16.08,92.31,0,94588,THANE,MAHARASHTRA,2419,2493,549,1041,38,42
1022,2/26/2019 12:55,63,0,54,0,37.99,0,37.24,1,31.6,4.54,101.3,15.88,89.01,0,94025,NEW DELHI,DELHI,2395,2436,549,1042,37,44
1023,2/26/2019 13:00,63,0,53.92,0,37.86,0,37.25,1,31.04,4.85,101.29,15.68,85.71,0,94025,BISWAN,UTTAR PRADESH,2480,2499,549,1043,37,15
1024,2/26/2019 13:05,63,0,53.85,0,37.73,0,37.26,1,31.13,4.89,101.28,17.12,80.35,0,94538,MUMBAI,MAHARASHTRA,2559,2561,549,1044,37,35
1025,2/26/2019 13:10,63,0,53.77,0,37.61,0,37.27,1,31.22,4.93,101.27,18.56,75,0,94025,MUMBAI,MAHARASHTRA,2539,2603,549,1045,37,35
1026,2/26/2019 13:15,63,0,53.69,0,37.48,0,37.28,1,31.52,4.85,101.26,18.38,81.94,0,94025,GUWAHATI,ASSAM,2582,2608,687,1046,37,24
1027,2/26/2019 13:20,63,0,53.62,0,37.35,0,37.29,1,31.82,4.77,101.26,18.2,88.89,0,94025,MUMBAI,MAHARASHTRA,2499,2609,687,1047,37,19
1028,2/26/2019 13:25,63,0,53.54,0,37.22,0,37.3,1,31.16,4.84,101.25,16.52,92.44,0,94025,CHENNAI,TAMIL NADU,2492,2520,687,1048,37,37
1029,2/26/2019 13:30,63,0,53.46,0,37.09,0,37.31,1,30.5,4.91,101.24,14.85,96,0,6544,CHENNAI,TAMIL NADU,2518,2573,687,1049,38,31
1030,2/26/2019 13:35,63,0,53.38,0,36.96,0,37.32,1,31.05,4.66,101.24,14.01,83.3,0,94025,VILLUPURAM,TAMIL NADU,2321,2525,687,1050,37,39
1031,2/26/2019 13:40,63,0,53.31,0,36.83,0,37.33,1,31.6,4.42,101.24,13.17,70.59,0,94108,KAMPUR TOWN,ASSAM,2297,2386,687,1051,38,35
1032,2/26/2019 13:45,63,0,53.23,0,36.71,0,37.34,1,32.1,3.84,101.21,14.99,100,0,94502,BARASAT,WEST BENGAL,2275,2333,687,1052,38,26
1033,2/26/2019 13:50,63,0,53.15,0,36.58,0,37.35,1,32.48,3.81,101.2,13.93,94.44,0,94025,HYDERABAD,TELANGANA,2341,2403,859,1053,37,26
1034,2/26/2019 13:55,63,0,53.08,0,36.45,0,37.36,1,32.87,3.78,101.18,12.87,88.89,0,95014,GURUGRAM,HARYANA,2183,2361,859,1054,37,0
1035,2/26/2019 14:00,63,0,53,0,36.32,0,37.37,1,32.87,3.46,101.18,13.08,68.44,0,94025,MUMBAI,MAHARASHTRA,1990,2230,859,1055,37,8
1036,2/26/2019 14:05,63,0,52.92,0,36.19,0,37.38,1,32.87,3.14,101.18,13.29,48,0,94588,MUMBAI,MAHARASHTRA,1843,1992,859,1056,38,44
1037,2/26/2019 14:10,63,0,52.85,0,36.06,0,37.39,1,32.23,3.58,101.17,13.33,52.57,0,94025,CHENNAI,TAMIL NADU,1933,1933,859,1057,37,20
1038,2/26/2019 14:15,63,0,52.77,0,35.94,0,37.4,1,31.59,4.02,101.16,13.37,57.14,0,94025,Lakkavaram,ANDHRA PRADESH,2165,2234,859,1058,37,56
1039,2/26/2019 14:20,63,0,52.69,0,35.81,0,37.41,1,31.54,4.1,101.16,13.56,78.57,0,94025,NEW DELHI,DELHI,2260,2323,859,1059,37,31
1040,2/26/2019 14:25,63,0,52.62,0,35.68,0,37.42,1,31.5,4.17,101.15,13.74,100,0,94588,Hazaribagh,JHARKHAND,2270,2270,388,1060,38,16
1041,2/26/2019 14:30,63,0,52.54,0,35.55,0,37.43,1,31.16,4.14,101.15,13.9,90,0,94025,ALLAHABAD,UTTAR PRADESH,2622,2838,388,1061,37,29
1042,2/26/2019 14:35,63,0,52.46,0,35.42,0,37.45,1,30.83,4.11,101.14,14.07,80,0,94025,COIMBATORE,TAMIL NADU,2658,2669,388,1062,37,22
1043,2/26/2019 14:40,63,0,52.38,0,35.29,0,37.46,1,31.18,4.22,101.14,13.88,81.38,0,94103,MEERUT CANTT,UTTAR PRADESH,2654,2808,388,1063,38,39
1044,2/26/2019 14:45,63,0,52.31,0,35.17,0,37.47,1,31.54,4.33,101.14,13.68,82.76,0,94025,ALIGARH,UTTAR PRADESH,2699,2733,388,1064,37,25
1045,2/26/2019 14:50,63,0,52.23,0,35.04,0,37.48,1,31.79,4.05,101.13,12.88,66.91,0,94025,Mumbai,MAHARASHTRA,2481,2758,388,1065,37,43
1046,2/26/2019 14:55,63,0,52.15,0,34.91,0,37.49,1,32.04,3.77,101.12,12.09,51.06,0,94588,BADLAPUR,MAHARASHTRA,2451,2578,388,1066,38,37
1047,2/26/2019 15:00,63,0,52.08,0,34.78,0,37.5,1,32.18,3.54,101.12,12.98,60.82,0,94025,BADLAPUR,MAHARASHTRA,2529,2539,388,1067,37,24
1048,2/26/2019 15:05,63,0,52,0,34.65,0,37.51,1,32.32,3.31,101.12,13.88,70.59,0,94025,MYSORE,KARNATAKA,2680,2680,388,1068,37,53
1049,2/26/2019 15:10,63,0,51.92,0,34.52,0,37.52,1,32.41,3.48,101.12,12.84,68.63,0,94025,PUNE,MAHARASHTRA,2693,2807,388,1069,37,19
1050,2/26/2019 15:15,63,0,51.85,0,34.39,0,37.53,1,32.5,3.65,101.11,11.8,66.67,0,6544,PUNE,MAHARASHTRA,2645,2724,388,1070,38,24
1051,2/26/2019 15:20,63,0,51.77,0,34.27,0,37.54,1,32.19,3.71,101.1,12.54,66.67,0,94105,HYDERABAD,TELANGANA,2721,2763,388,1071,38,31
1052,2/26/2019 15:25,63,0,51.69,0,34.14,0,37.55,1,31.88,3.77,101.09,13.28,66.67,0,94107,MATHURA,UTTAR PRADESH,2686,2871,388,1072,38,27
1053,2/26/2019 15:30,62.97,0,51.62,0,34.01,0,37.56,1,31.92,3.76,101.08,13.96,76.19,0,98004,Naigoan,MAHARASHTRA,2669,2727,388,1073,48,57
1054,2/26/2019 15:35,62.94,0,51.54,0,33.88,0,37.57,1,31.97,3.74,101.08,14.65,85.71,0,94104,BHILAI,CHHATTISGARH,2685,2710,431,1074,38,26
1055,2/26/2019 15:40,62.92,0,51.46,0,33.75,0,37.58,1,32.08,3.5,101.07,15.08,89.01,0,94612,JIND,HARYANA,2744,2807,431,1075,38,15
1056,2/26/2019 15:45,62.89,0,51.38,0,33.62,0,37.59,1,32.19,3.26,101.07,15.52,92.31,0,94107,HYDERABAD,TELANGANA,2875,2898,431,1076,38,19
1057,2/26/2019 15:50,62.86,0,51.31,0,33.5,0,37.6,1,32.06,3.44,101.06,14.4,83.66,0,94118,VILLUPURAM,TAMIL NADU,3156,3258,431,1077,38,27
1058,2/26/2019 15:55,62.83,0,51.23,0,33.37,0,37.61,1,31.94,3.63,101.06,13.28,75,0,94403,SOLAPUR,MAHARASHTRA,3181,3213,431,1078,38,23
1059,2/26/2019 16:00,62.81,0,51.15,0,33.24,0,37.62,1,31.86,3.81,101.06,14.53,77.5,0,19301,CHENNAI,TAMIL NADU,3346,3370,431,1079,40,6
1060,2/26/2019 16:05,62.78,0,51.08,0,33.11,0,37.63,1,31.79,3.99,101.07,15.78,80,0,94041,Surat,Gujarat,3248,3420,431,1080,37,15
1061,2/26/2019 16:10,62.75,0,51,0,32.98,0,37.64,1,31.8,3.94,101.06,14.18,75.3,0,94010,Mumbai,MAHARASHTRA,3319,3342,450,1081,38,2
1062,2/26/2019 16:15,62.72,0,51.03,1,32.85,0,37.65,1,31.8,3.88,101.06,12.57,70.59,0,94612,BENGALURU,KARNATAKA,3372,3374,450,1082,38,21
1063,2/26/2019 16:20,62.7,0,51.05,1,32.72,0,37.67,1,31.52,3.97,101.06,12.23,66.9,0,94117,BENGALURU,KARNATAKA,3614,3651,450,1083,38,0
1064,2/26/2019 16:25,62.67,0,51.08,1,32.6,0,37.68,1,31.24,4.06,101.06,11.9,63.2,0,94402,SANAND,Gujarat,3858,3880,450,1084,38,18
1065,2/26/2019 16:30,62.64,0,51.1,1,32.47,0,37.69,1,30.96,4.15,101.05,11.56,59.5,0,94111,HYDERABAD,TELANGANA,3989,4066,450,1085,38,46
1066,2/26/2019 16:35,62.61,0,51.13,1,32.34,0,37.7,1,30.68,4.24,101.05,11.22,55.81,0,6544,HYDERABAD,TELANGANA,3906,4327,450,1086,38,43
1067,2/26/2019 16:40,62.59,0,51.15,1,32.21,0,37.71,1,31,4.07,101.04,12.05,56.48,0,94022,Naigoan,MAHARASHTRA,3994,4200,450,1087,37,45
1068,2/26/2019 16:45,62.56,0,51.18,1,32.08,0,37.72,1,31.33,3.9,101.04,12.88,57.14,0,94105,AHMEDABAD,Gujarat,4244,4384,450,1088,38,40
1069,2/26/2019 16:50,62.53,0,51.21,1,31.95,0,37.73,1,31.06,3.86,101.04,12.63,58.57,0,94065,AHMEDABAD,Gujarat,4015,4324,450,1089,38,44
1070,2/26/2019 16:55,62.5,0,51.23,1,31.83,0,37.74,1,30.78,3.81,101.04,12.38,60,0,94107,BENGALURU,KARNATAKA,3971,4138,450,1090,38,27
1071,2/26/2019 17:00,62.48,0,51.26,1,31.7,0,37.75,1,30.5,4,101.05,12.05,62.65,0,94402,INDORE,MADHYA PRADESH,4070,4189,450,1091,38,55
1072,2/26/2019 17:05,62.45,0,51.28,1,31.57,0,37.76,1,30.23,4.18,101.06,11.72,65.3,0,6544,HOSKOTE,KARNATAKA,3989,4090,450,1092,38,24
1073,2/26/2019 17:10,62.42,0,51.31,1,31.44,0,37.77,1,29.96,4.36,101.07,11.39,67.94,0,95032,SURAT,Gujarat,3675,3998,450,1093,37,27
1074,2/26/2019 17:15,62.39,0,51.33,1,31.31,0,37.78,1,29.68,4.55,101.08,11.06,70.59,0,95032,VADODARA,Gujarat,4078,4089,450,1094,37,33
1075,2/26/2019 17:20,62.37,0,51.36,1,31.18,0,37.79,1,29.38,4.58,101.08,11.28,63.86,0,95030,PIMPRI CHINCHWAD,MAHARASHTRA,4130,4138,343,1095,37,35
1076,2/26/2019 17:25,62.34,0,51.38,1,31.06,0,37.8,1,29.07,4.61,101.08,11.5,57.14,0,95032,NEW DELHI,DELHI,4307,4333,343,1096,37,33
1077,2/26/2019 17:30,62.31,0,51.41,1,30.93,0,37.81,1,29.44,4.56,101.07,12.12,58.57,0,95032,CHENNAI,TAMIL NADU,4270,4372,343,1097,37,34
1078,2/26/2019 17:35,62.28,0,51.44,1,30.8,0,37.82,1,29.8,4.51,101.07,12.73,60,0,95032,PIMPRI CHINCHWAD,MAHARASHTRA,4317,4345,343,1098,37,37
1079,2/26/2019 17:40,62.26,0,51.46,1,30.67,0,37.83,1,29.83,4.6,101.08,12.4,60.77,0,95032,VADODARA,Gujarat,4225,4384,343,1099,37,46
1080,2/26/2019 17:45,62.23,0,51.49,1,30.54,0,37.84,1,29.85,4.68,101.09,12.08,61.54,0,94105,Motihari,BIHAR,4352,4389,343,1100,38,45
1081,2/26/2019 17:50,62.2,0,51.51,1,30.41,0,37.85,1,29.64,4.94,101.09,11,58.68,0,94085,MEERUT,UTTAR PRADESH,4471,4570,343,1101,37,14
1082,2/26/2019 17:55,62.17,0,51.54,1,30.28,0,37.86,1,29.43,5.2,101.09,9.92,55.81,0,94303,NOIDA,UTTAR PRADESH,4549,4556,343,1102,37,24
1083,2/26/2019 18:00,62.15,0,51.56,1,30.16,0,37.87,1,28.94,5.58,101.1,9.84,49.72,0,94104,davangere,KARNATAKA,4679,4702,343,1103,38,56
1084,2/26/2019 18:05,62.12,0,51.59,1,30.03,0,37.88,1,28.46,5.96,101.1,9.77,43.64,0,95054,HYDERABAD,TELANGANA,4469,4901,343,1104,37,24
1085,2/26/2019 18:10,62.09,0,51.62,1,29.9,0,37.9,1,28.36,5.77,101.1,9.64,49.1,0,7666,MUMBAI,MAHARASHTRA,4418,4585,343,1105,41,19
1086,2/26/2019 18:15,62.06,0,51.64,1,29.77,0,37.91,1,28.27,5.58,101.1,9.5,54.55,0,94105,MEERUT,UTTAR PRADESH,4108,4592,343,1106,38,51
1087,2/26/2019 18:20,62.04,0,51.67,1,29.64,0,37.92,1,28.04,5.83,101.11,9.51,38.7,0,94106,KOCHI,KERALA,3998,4228,343,1107,39,24
1088,2/26/2019 18:25,62.01,0,51.69,1,29.51,0,37.93,1,27.8,6.08,101.12,9.52,22.86,0,94107,Jetpur,Gujarat,4377,4377,343,1108,40,23
1089,2/26/2019 18:30,61.98,0,51.72,1,29.39,0,37.94,1,27.76,5.96,101.12,9.5,25.89,0,94108,MUMBAI,MAHARASHTRA,4491,4589,343,1109,41,21
1090,2/26/2019 18:35,61.95,0,51.74,1,29.26,0,37.95,1,27.73,5.84,101.11,9.47,28.92,0,94109,MUMBAI,MAHARASHTRA,4075,4605,343,1110,42,6
1091,2/26/2019 18:40,61.93,0,51.77,1,29.13,0,37.96,1,27.54,6.36,101.12,8.17,28.58,0,94110,MUMBAI,MAHARASHTRA,4114,4230,343,1111,43,11
1092,2/26/2019 18:45,61.9,0,51.79,1,29,0,37.97,1,27.35,6.89,101.12,6.86,28.24,0,94111,BANGALORE,KARNATAKA,3951,4229,343,1112,44,4
1093,2/26/2019 18:50,61.87,0,51.82,1,28.95,0,37.98,1,27.26,6.76,101.13,7.57,35.94,0,94112,RAIGANJ,WEST BENGAL,4099,4122,343,1113,45,0
1094,2/26/2019 18:55,61.84,0,51.85,1,28.91,0,37.99,1,27.16,6.62,101.14,8.29,43.64,0,94113,NAVI MUMBAI,MAHARASHTRA,4085,4169,343,1114,46,7
1095,2/26/2019 19:00,61.82,0,51.87,1,28.86,0,38,1,27.04,6.56,101.15,8.31,30.84,0,94114,Noida extension,UTTAR PRADESH,3790,4132,343,1115,47,24
1096,2/26/2019 19:05,61.79,0,51.9,1,28.82,0,37.95,0,26.91,6.49,101.16,8.33,18.05,0,94115,COIMBATORE,TAMIL NADU,3154,3875,343,1116,48,32
1097,2/26/2019 19:10,61.76,0,51.92,1,28.77,0,37.9,0,26.74,6.74,101.17,7.3,15.73,0,94116,DOHAD,Gujarat,2947,3166,343,1117,49,43
1098,2/26/2019 19:15,61.73,0,51.95,1,28.72,0,37.85,0,26.57,6.98,101.18,6.26,13.41,0,94117,KARNAL,HARYANA,3488,3638,343,1118,50,24
1099,2/26/2019 19:20,61.71,0,51.97,1,28.68,0,37.8,0,26.48,7.19,101.19,6.44,15.1,0,94118,CHENNAI,TAMIL NADU,3446,3606,343,1119,51,49
1100,2/26/2019 19:25,61.68,0,52,1,28.63,0,37.75,0,26.39,7.4,101.2,6.61,16.78,0,94119,JAMSHEDPUR,JHARKHAND,3591,3591,343,1120,52,21
1101,2/26/2019 19:30,61.65,0,52,0,28.59,0,37.7,0,26.26,7.69,101.21,5.72,14.84,0,94120,NAGPUR,MAHARASHTRA,3869,4074,343,1121,53,29
1102,2/26/2019 19:35,61.62,0,52,0,28.54,0,37.65,0,26.12,7.98,101.22,4.84,12.9,0,94121,NOIDA,UTTAR PRADESH,3858,3916,343,1122,54,25
1103,2/26/2019 19:40,61.6,0,52,0,28.5,0,37.6,0,26,8.16,101.23,5.14,17.16,0,94122,JAIPUR,RAJASTHAN,3614,3901,343,1123,55,27
1104,2/26/2019 19:45,61.57,0,52,0,28.45,0,37.55,0,25.87,8.34,101.24,5.44,21.43,0,94123,CHITTOOR,ANDHRA PRADESH,3554,3628,343,1124,56,14
1105,2/26/2019 19:50,61.54,0,52,0,28.4,0,37.5,0,25.78,8.56,101.25,5.04,16.51,0,94124,PUNE,MAHARASHTRA,3595,3630,343,1125,57,67
1106,2/26/2019 19:55,61.51,0,52,0,28.36,0,37.45,0,25.69,8.77,101.26,4.64,11.59,0,94125,BENGALURU,KARNATAKA,3667,3796,343,1126,58,17
1107,2/26/2019 20:00,61.49,0,52,0,28.31,0,37.4,0,25.58,8.95,101.26,4.2,11.46,0,94126,PATNA,BIHAR,3682,3682,343,1127,59,44
1108,2/26/2019 20:05,61.46,0,52,0,28.27,0,37.35,0,25.46,9.13,101.27,3.75,11.32,0,94127,KOLKATA,WEST BENGAL,3870,3928,343,1128,60,52
1109,2/26/2019 20:10,61.43,0,52,0,28.22,0,37.3,0,25.48,9.09,101.28,4.16,11.88,0,94128,THANE (W),MAHARASHTRA,3885,3893,343,1129,61,14
1110,2/26/2019 20:15,61.4,0,52,0,28.17,0,37.25,0,25.5,9.05,101.28,4.58,12.44,0,94129,Lonavala,MAHARASHTRA,4110,4197,343,1130,62,17
1111,2/26/2019 20:20,61.38,0,52,0,28.13,0,37.2,0,25.37,9.37,101.29,4.46,15.37,0,94130,DEORIA,UTTAR PRADESH,4039,4172,343,1131,63,19
1112,2/26/2019 20:25,61.35,0,52,0,28.08,0,37.15,0,25.23,9.68,101.29,4.33,18.31,0,94131,CHENNAI,TAMIL NADU,4161,4166,343,1132,64,36
1113,2/26/2019 20:30,61.32,0,52,0,28.04,0,37.1,0,25.1,10,101.3,4.21,21.24,0,94132,MUMBAI,MAHARASHTRA,4270,4341,343,1133,65,19
1114,2/26/2019 20:35,61.29,0,52,0,27.99,0,37.05,0,24.98,10.34,101.3,4,15.7,0,94133,THIRUVANANTHAPURAM,KERALA,4377,4396,343,1134,66,25
1115,2/26/2019 20:40,61.27,0,52,0,27.94,0,37,0,24.85,10.67,101.31,3.78,10.17,0,94134,BHIWADI,RAJASTHAN,4259,4408,343,1135,67,39
1116,2/26/2019 20:45,61.24,0,52,0,27.9,0,36.95,0,24.68,11.01,101.31,3.15,10.19,0,94135,Dombivli west,MAHARASHTRA,4210,4319,343,1136,68,32
1117,2/26/2019 20:50,61.21,0,52,0,27.85,0,36.9,0,24.52,11.35,101.31,2.52,10.21,0,94136,YERRAGUNTLA,ANDHRA PRADESH,4164,4230,343,1137,69,75
1118,2/26/2019 20:55,61.18,0,52,0,27.81,0,36.85,0,24.26,12.26,101.32,3.23,9.48,0,94137,FARIDABAD,HARYANA,4321,4324,343,1138,70,37
1119,2/26/2019 21:00,61.16,0,52,0,27.76,0,36.8,0,24.01,13.16,101.33,3.94,8.76,0,94138,NEW DELHI,DELHI,4321,4369,343,1139,71,25
1120,2/26/2019 21:05,61.13,0,52,0,27.72,0,36.75,0,24,13.14,101.34,4.38,16.26,0,94139,MUMBAI,MAHARASHTRA,4406,4430,343,1140,72,33
1121,2/26/2019 21:10,61.1,0,52,0,27.67,0,36.7,0,23.98,13.11,101.35,4.81,23.76,0,94140,Mumbai,MAHARASHTRA,4564,4615,343,1141,73,25
1122,2/26/2019 21:15,61.07,0,52,0,27.62,0,36.65,0,24.01,13.38,101.36,4.89,23.76,0,94141,Mandi,HIMACHAL PRADESH,4765,4776,343,1142,74,24
1123,2/26/2019 21:20,61.05,0,52,0,27.58,0,36.6,0,24.04,13.64,101.36,4.98,23.76,0,94142,AHMEDABAD,Gujarat,4752,4789,343,1143,75,22
1124,2/26/2019 21:25,61.02,0,52,0,27.53,0,36.55,0,24.06,13.91,101.37,5.07,23.76,0,94143,JODHPUR,RAJASTHAN,4822,4830,446,1144,76,22
1125,2/26/2019 21:30,60.99,0,52,0,27.49,0,36.5,0,24.09,14.18,101.38,5.15,23.76,0,94144,SRIPERUMBUDUR,TAMIL NADU,5437,5464,446,1145,77,36
1126,2/26/2019 21:35,60.96,0,52,0,27.44,0,36.45,0,24.03,14.4,101.38,5.07,19.38,0,94145,BENGALURU,KARNATAKA,5592,5644,446,1146,78,4
1127,2/26/2019 21:40,60.94,0,52,0,27.39,0,36.4,0,23.97,14.63,101.39,4.99,15,0,94146,LUCKNOW,UTTAR PRADESH,5479,5836,446,1147,79,61
1128,2/26/2019 21:45,60.91,0,52,0,27.35,0,36.35,0,23.89,15.04,101.4,5.18,18.72,0,94147,PUNE,MAHARASHTRA,5544,5688,446,1148,80,0
1129,2/26/2019 21:50,60.88,0,52,0,27.3,0,36.3,0,23.81,15.44,101.4,5.37,22.43,0,94148,PUNE,MAHARASHTRA,5473,5742,446,1149,81,15
1130,2/26/2019 21:55,60.85,0,52,0,27.26,0,36.25,0,23.68,15.98,101.4,5.22,26.8,0,94149,Hyderabad,TELANGANA,5151,5604,446,1150,82,42
1131,2/26/2019 22:00,60.83,0,52,0,27.21,0,36.2,0,23.55,16.52,101.41,5.08,31.17,0,94150,BENGALURU,KARNATAKA,5531,5584,446,1151,83,27
1132,2/26/2019 22:05,60.8,0,52,0,27.17,0,36.15,0,23.5,16.67,101.4,5.4,26.3,0,94151,NASHIK,MAHARASHTRA,5627,5708,446,1152,84,5
1133,2/26/2019 22:10,60.77,0,52,0,27.12,0,36.1,0,23.45,16.82,101.4,5.72,21.43,0,94152,BENGALURU,KARNATAKA,5965,5997,446,1153,85,32
1134,2/26/2019 22:15,60.74,0,52,0,27.07,0,36.05,0,23.3,17.46,101.4,5.7,24.67,0,94153,MUMBAI,MAHARASHTRA,5792,6037,446,1154,86,38
1135,2/26/2019 22:20,60.72,0,52,0,27.03,0,36,0,23.16,18.11,101.39,5.67,27.91,0,94154,HUBBALLI,KARNATAKA,5732,6006,446,1155,87,21
1136,2/26/2019 22:25,60.69,0,52,0,26.98,0,35.95,0,23.01,18.54,101.4,5.26,23.56,0,94155,NEW DELHI,DELHI,5504,5936,446,1156,88,23
1137,2/26/2019 22:30,60.66,0,52,0,26.94,0,35.9,0,22.86,18.97,101.41,4.85,19.2,0,94156,BENGALURU,KARNATAKA,5398,5525,446,1157,89,34
1138,2/26/2019 22:35,60.63,0,52,0,26.89,0,35.85,0,22.83,18.89,101.42,5.58,26.5,0,94157,DHARMANAGAR,TRIPURA,5721,5748,446,1158,90,28
1139,2/26/2019 22:40,60.61,0,52,0,26.84,0,35.79,0,22.8,18.81,101.43,6.32,33.8,0,94158,THIRUVANANTHAPURAM,KERALA,5729,5900,446,1159,91,23
1140,2/26/2019 22:45,60.58,0,52,0,26.8,0,35.74,0,22.74,18.83,101.44,5.86,33.56,0,94159,GHAZIABAD,UTTAR PRADESH,5689,5788,446,1160,92,14
1141,2/26/2019 22:50,60.55,0,52,0,26.75,0,35.69,0,22.69,18.85,101.44,5.39,33.33,0,94160,SURAT,Gujarat,5725,5754,446,1161,93,60
1142,2/26/2019 22:55,60.52,0,52,0,26.71,0,35.64,0,22.61,18.87,101.44,5.52,23.68,0,94161,Bengaluru,KARNATAKA,6041,6115,446,1162,94,78
1143,2/26/2019 23:00,60.5,0,52,0,26.66,0,35.59,0,22.53,18.89,101.45,5.64,14.04,0,94162,BENGALURU,KARNATAKA,6103,6132,446,1163,95,6
1144,2/26/2019 23:05,60.47,0,52,0,26.61,0,35.54,0,22.51,18.55,101.46,5.34,14.12,0,94163,HYDERABAD,TELANGANA,6378,6441,446,1164,96,17
